country,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Ethiopia,2000,2708.453,2579.128,2459.995,2350.386,2249.628,2157.051,2071.984,1993.756,1921.696,1855.133,1793.03,1734.347,1680.251,1630.805,1584.237,1540.003,1499.763,1451.189,1388.583,1317.899,1250.11,1182.202,1123.013,1077.792,1041.901,1005.59,970.962,935.258,896.176,855.462,817.48,781.73,746.611,711.884,678.227,645.923,614.154,587.774,568.986,555.263,542.226,531.17,517.491,498.588,476.776,456.513,436.361,419.704,408.495,400.674,392.413,384.707,374.673,360.563,343.862,327.989,312.491,296.911,281.44,266.27,250.973,235.125,222.001,213.025,206.539,199.937,194.316,185.336,170.758,152.874,135.972,118.897,104.858,95.787,89.985,83.897,78.328,72.14,64.436,55.943,48.287,41.146,34.644,29.007,24.092,19.492,15.245,11.631,8.736,6.444,4.033,2.453,1.916,1.341,0.728,0.418,0.343,0.263,0.174,0.079,0.078
Ethiopia,2001,2738.766,2673.594,2556.168,2445.679,2341.85,2244.403,2152.924,2067.001,1987.033,1913.013,1844.257,1779.057,1716.519,1659.449,1608.67,1561.918,1517.289,1476.588,1428.323,1367.032,1298.33,1232.605,1166.944,1109.713,1065.851,1030.91,995.636,962.052,927.165,888.613,848.206,810.469,774.914,739.817,704.91,670.952,638.311,606.122,579.56,560.985,547.725,535.097,524.455,511.102,492.361,470.598,450.411,430.344,413.726,402.502,394.629,386.302,378.506,368.42,354.331,337.69,321.855,306.381,290.805,275.307,260.082,244.74,228.875,215.632,206.382,199.539,192.603,186.626,177.481,163.036,145.48,128.895,112.191,98.412,89.4,83.542,77.461,71.914,65.859,58.462,50.397,43.159,36.44,30.399,25.259,20.86,16.704,12.996,9.943,7.437,5.383,3.333,2.051,1.599,1.116,0.603,0.361,0.275,0.182,0.083,0.085
Ethiopia,2002,2754.512,2666.163,2643.028,2537.292,2435.255,2337.03,2242.734,2152.207,2065.294,1983.462,1907.369,1836.315,1767.923,1701.438,1641.311,1589.121,1542.11,1497.017,1455.792,1407.756,1347.681,1280.851,1217.08,1153.56,1098.189,1055.617,1021.568,987.275,954.679,920.553,882.468,842.305,804.752,769.332,734.202,699.061,664.749,631.719,599.06,572.274,553.884,541.066,528.823,518.578,505.531,486.921,465.173,445.031,425.017,408.412,397.155,389.216,380.811,372.913,362.761,348.669,332.063,316.24,300.765,285.169,269.621,254.318,238.906,222.998,209.615,200.078,192.868,185.589,179.247,169.921,155.588,138.329,122.037,105.674,92.134,83.166,77.246,71.159,65.626,59.694,52.593,44.941,38.109,31.803,26.211,21.56,17.667,13.948,10.773,8.275,6.153,4.334,2.64,1.652,1.286,0.894,0.478,0.286,0.19,0.088,0.093
Ethiopia,2003,2760.796,2699.7,2633.085,2614.7,2520.569,2426.899,2334.198,2242.972,2153.32,2065.343,1981.578,1903.346,1829.934,1758.289,1687.798,1624.561,1570.916,1523.605,1478.011,1436.224,1388.38,1329.469,1264.453,1202.585,1141.152,1087.595,1046.277,1013.091,979.751,948.116,914.722,877.072,837.117,799.716,764.403,729.21,693.803,659.107,625.662,592.505,565.472,547.25,534.863,522.997,513.141,500.387,481.891,460.14,440.027,420.049,403.444,392.144,384.134,375.642,367.635,357.407,343.301,326.715,310.891,295.403,279.773,264.16,248.767,233.272,217.309,203.774,193.94,186.359,178.73,172.015,162.502,148.268,131.293,115.279,99.244,85.931,77,71.011,64.916,59.391,53.578,46.765,39.52,33.09,27.189,22.043,17.876,14.489,11.204,8.558,6.614,4.873,3.287,1.949,1.254,0.973,0.673,0.355,0.198,0.093,0.103
Ethiopia,2004,2765.897,2728.676,2681.305,2624.955,2586.613,2504.092,2418.792,2331.612,2243.451,2154.666,2065.613,1979.903,1899.521,1823.739,1748.83,1674.32,1607.963,1552.854,1505.239,1459.137,1416.785,1369.125,1311.374,1248.169,1188.198,1128.849,1077.104,1037.035,1004.713,972.321,941.646,908.98,871.764,832.012,794.76,759.551,724.289,688.614,653.53,619.664,586.005,558.723,540.667,528.709,517.22,507.751,495.289,476.908,455.152,435.064,415.121,398.513,387.168,379.085,370.506,362.389,352.085,337.963,321.395,305.57,290.065,274.4,258.722,243.234,227.655,211.635,197.947,187.815,179.861,171.88,164.793,155.091,140.954,124.263,108.525,92.816,79.729,70.834,64.776,58.671,53.153,47.459,40.936,34.096,28.067,22.573,17.873,14.19,11.307,8.456,6.34,4.95,3.592,2.24,1.257,0.857,0.66,0.451,0.231,0.099,0.111
Ethiopia,2005,2777.064,2755.682,2721.816,2676.756,2621.795,2558.225,2487.34,2410.429,2328.787,2243.705,2155.796,2065.674,1978.026,1895.5,1817.352,1739.181,1660.656,1591.179,1534.611,1486.696,1440.089,1397.177,1349.707,1293.123,1231.737,1173.673,1116.415,1066.491,1027.678,996.22,964.782,935.071,903.139,866.359,826.816,789.716,754.616,719.29,683.349,647.88,613.596,579.439,551.909,534.023,522.496,511.383,502.304,490.138,471.871,450.112,430.051,410.143,393.534,382.147,373.992,365.327,357.101,346.721,332.584,316.037,300.209,284.692,268.992,253.249,237.671,222.009,205.932,192.093,181.664,173.335,165.004,157.545,147.653,133.616,117.209,101.75,86.371,73.511,64.653,58.526,52.411,46.903,41.327,35.093,28.662,23.035,17.948,13.694,10.497,8.12,5.704,4.12,3.283,2.307,1.192,0.564,0.458,0.347,0.229,0.107,0.119
Ethiopia,2006,2792.046,2764.425,2739.364,2704.102,2659.496,2606.402,2546.077,2479.784,2406.355,2325.837,2240.299,2152.595,2063.153,1974.966,1890.148,1808.678,1727.267,1645.192,1573.629,1517.381,1471.327,1426.354,1385.248,1339.067,1282.745,1220.998,1162.827,1105.5,1055.777,1017.626,987.105,956.526,927.694,896.409,859.888,820.357,783.301,748.194,712.995,677.426,642.466,608.627,574.91,547.658,529.797,518.128,506.882,497.632,485.363,467.128,445.476,425.479,405.619,388.992,377.488,369.148,360.301,351.888,341.301,326.939,310.157,294.086,278.311,262.404,246.536,230.885,215.171,199.115,185.169,174.421,165.676,156.976,149.104,139.19,125.733,110.278,95.737,81.375,69.183,60.399,53.983,47.673,41.938,36.385,30.598,24.878,19.821,15.398,11.787,8.993,6.826,4.747,3.447,2.742,1.923,0.988,0.507,0.385,0.254,0.118,0.126
Ethiopia,2007,2813.85,2797.392,2752.319,2723.578,2686.917,2642.756,2591.514,2534.42,2472.701,2402.735,2323.325,2237.315,2149.799,2061.019,1972.278,1885.158,1800.354,1715.693,1630.056,1556.396,1500.457,1456.254,1412.904,1373.598,1328.693,1272.621,1210.502,1152.215,1094.809,1045.276,1007.779,978.186,948.458,920.5,889.854,853.584,814.061,777.04,741.921,706.843,671.639,637.181,603.78,570.497,543.518,525.677,513.866,502.484,493.061,480.687,462.481,440.932,420.994,401.177,384.531,372.907,364.381,355.35,346.749,335.955,321.364,304.344,288.028,271.991,255.874,239.879,224.151,208.385,192.344,178.289,167.221,158.059,148.991,140.704,130.765,117.885,103.377,89.752,76.401,64.875,56.162,49.457,42.949,36.988,31.457,26.114,21.102,16.616,12.855,9.885,7.493,5.535,3.791,2.776,2.203,1.539,0.785,0.431,0.286,0.13,0.133
Ethiopia,2008,2844.609,2820.383,2790.788,2741.355,2708.925,2670.851,2627.116,2577.706,2523.815,2466.641,2400.108,2321.771,2235.255,2147.889,2059.735,1970.404,1880.945,1792.778,1704.833,1615.602,1539.818,1484.165,1441.792,1400.046,1362.52,1318.875,1263.03,1200.513,1142.086,1084.576,1035.214,998.353,969.676,940.787,913.691,883.67,847.638,808.103,771.105,735.959,700.988,666.133,632.162,599.186,566.322,539.606,521.779,509.818,498.296,488.697,476.212,458.027,436.573,416.685,396.904,380.231,368.483,359.766,350.548,341.757,330.75,315.926,298.661,282.092,265.787,249.455,233.325,217.514,201.689,185.657,171.488,160.096,150.513,141.072,132.367,122.399,110.092,96.524,83.808,71.463,60.596,51.952,44.955,38.247,32.056,26.545,21.644,17.339,13.42,10.318,7.989,5.997,4.248,2.836,2.107,1.665,1.157,0.581,0.321,0.145,0.141
Ethiopia,2009,2886.095,2850.686,2814.473,2777.037,2732.156,2696.016,2656.503,2613.167,2565.556,2514.835,2462.172,2399.026,2321.714,2234.636,2147.365,2059.778,1969.8,1877.945,1786.354,1695.07,1602.186,1524.226,1468.823,1428.254,1388.086,1352.315,1309.901,1254.247,1191.293,1132.686,1075.036,1025.814,989.567,961.789,933.722,907.47,878.056,842.237,802.666,765.664,730.467,695.579,661.052,627.547,594.972,562.507,536.037,518.211,506.095,494.424,484.643,472.039,453.864,432.49,412.641,392.884,376.173,364.294,355.381,345.969,336.982,325.755,310.687,293.166,276.335,259.753,243.193,226.92,211.016,195.121,179.087,164.794,153.071,143.06,133.241,124.113,114.11,102.367,89.73,77.915,66.568,56.355,47.773,40.479,33.568,27.145,21.649,17.187,13.586,10.231,7.789,6.098,4.505,2.963,1.885,1.439,1.128,0.775,0.38,0.161,0.152
